#Mapping file for Veto PMT in WP Sphere and Bottom PMTs.
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20241223.
#A total of 2399 PMTs were actually installed in Sphere and 5 PMTs were installed in Bottom , more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F.
#CopyNo, SphereOrWall(0=Sphere 1=Wall), NorthOrSouth(0=North 1=South), LayerNo, WindowNo, PositionNo, PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), LargeOrSmall(0=Large 1=Small), GCU, Channel(0-2), X, Y, Z, Theta, Phi
50122,0,0,9,19,2,2,0,3279,2,6391.82,4642.386,18964.02,22.6151,35.9909
50123,0,0,9,20,1,2,0,3499,2,4806.885,5338.627,19245.05,20.4696,48.0002
50124,0,0,9,20,2,2,0,3499,1,5301.559,5888.022,18954.88,22.6848,48.0002
50125,0,0,9,21,1,2,0,2357,2,3591.88,6221.372,19245.05,20.4696,60.0002
50126,0,0,9,21,2,2,0,2357,1,3961.519,6861.611,18954.88,22.6848,60.0002
50127,0,0,9,22,1,2,0,4783,2,2219.893,6832.214,19245.05,20.4696,72.0002
50128,0,0,9,22,2,2,0,4783,1,2448.341,7535.314,18954.88,22.6848,72.0002
50129,0,0,9,23,1,2,0,2339,2,750.8856,7144.456,19245.05,20.4696,84.0002
50130,0,0,9,23,2,2,0,2339,1,828.1588,7879.688,18954.88,22.6848,84.0002
50131,0,0,9,24,1,2,0,2360,2,-750.939,7144.45,19245.05,20.4696,96.0002
50132,0,0,9,24,2,2,0,2360,1,-828.218,7879.682,18954.88,22.6848,96.0002
50133,0,0,9,25,1,2,0,1916,0,-2142.12,6592.761,19348.18,19.7115,108.0
50134,0,0,9,25,2,2,0,1916,2,-2439.99,7513.558,18964.02,22.6151,107.9909
50135,0,0,9,26,1,2,0,2138,2,-3591.93,6221.346,19245.05,20.4696,120.0002
50136,0,0,9,26,2,2,0,2138,1,-3961.57,6861.581,18954.88,22.6848,120.0002
50137,0,0,9,27,1,2,0,0956,2,-4806.92,5338.591,19245.05,20.4696,132.0002
50138,0,0,9,27,2,2,0,0956,1,-5301.6,5887.983,18954.88,22.6848,132.0002
50139,0,0,9,28,1,2,0,1634,2,-5811.84,4222.514,19245.05,20.4696,144.0002
50140,0,0,9,28,2,2,0,1634,1,-6409.93,4657.051,18954.88,22.6848,144.0002
50141,0,0,9,29,1,2,0,1344,2,-6562.74,2921.893,19245.05,20.4696,156.0002
50142,0,0,9,29,2,2,0,1344,1,-7238.11,3222.583,18954.88,22.6848,156.0002
50143,0,0,9,30,1,2,0,1179,2,-7026.83,1493.571,19245.05,20.4696,168.0002
50144,0,0,9,30,2,2,0,1179,1,-7749.96,1647.274,18954.88,22.6848,168.0002
50145,0,0,8,1,1,2,0,1504,1,-9282.19,-200.0,18316.94,26.8792,-178.7657
50146,0,0,8,1,2,2,0,7187,0,-10214.0,-0.0,17805.96,29.8398,-180.0
50147,0,0,8,2,1,2,0,3775,0,-9023.6,-1918.06,18348.19,26.6926,-167.9998
50148,0,0,8,2,2,2,0,3775,2,-10119.4,-2150.99,17733.84,30.2582,-167.9998
50149,0,0,8,3,1,2,0,3814,0,-8427.63,-3752.26,18348.19,26.6926,-155.9998
50150,0,0,8,3,2,2,0,3814,2,-9451.08,-4207.94,17733.84,30.2583,-155.9998
50151,0,0,8,4,1,2,0,1080,0,-7463.32,-5422.47,18348.19,26.6926,-143.9997
50152,0,0,8,4,2,2,0,1080,2,-8369.67,-6080.97,17733.84,30.2583,-143.9998
50153,0,0,8,5,1,2,0,1033,0,-6172.84,-6855.68,18348.19,26.6926,-131.9998
50154,0,0,8,5,2,2,0,1033,2,-6922.47,-7688.24,17733.84,30.2583,-131.9998
50155,0,0,8,6,1,2,0,2546,0,-4612.57,-7989.28,18348.19,26.6926,-119.9998
50156,0,0,8,6,2,2,0,2546,2,-5172.72,-8959.5,17733.84,30.2583,-119.9998
50157,0,0,8,7,1,2,0,2825,1,-2678.14,-8889.69,18316.94,26.8792,-106.7656
50158,0,0,8,7,2,2,0,2128,0,-3156.3,-9714.08,17805.96,29.8398,-108.0
50159,0,0,8,8,1,2,0,7636,0,-964.262,-9174.67,18348.19,26.6926,-95.9998
50160,0,0,8,8,2,2,0,7636,2,-1081.36,-10288.8,17733.84,30.2582,-95.9998
50161,0,0,8,9,1,2,0,2256,0,964.3306,-9174.66,18348.19,26.6926,-83.9998
50162,0,0,8,9,2,2,0,2256,2,1081.439,-10288.8,17733.84,30.2582,-83.9998
50163,0,0,8,10,1,2,0,2335,0,2850.777,-8773.68,18348.19,26.6926,-71.9998
50164,0,0,8,10,2,2,0,2335,2,3196.976,-9839.16,17733.84,30.2583,-71.9998
50165,0,0,8,11,1,2,0,1306,0,4612.631,-7989.24,18348.19,26.6926,-59.9998
50166,0,0,8,11,2,2,0,1306,2,5172.791,-8959.46,17733.84,30.2583,-59.9998
50167,0,0,8,12,1,2,0,2228,0,6172.89,-6855.64,18348.19,26.6926,-47.9998
50168,0,0,8,12,2,2,0,2228,2,6922.529,-7688.19,17733.84,30.2583,-47.9998
50169,0,0,8,13,1,2,0,1205,1,7627.01,-5294.13,18316.94,26.8792,-34.7656
50170,0,0,8,13,2,2,0,4322,0,8263.293,-6003.63,17805.96,29.8398,-36.0
50171,0,0,8,14,1,2,0,2026,0,8427.655,-3752.2,18348.19,26.6926,-23.9998
50172,0,0,8,14,2,2,0,2026,2,9451.113,-4207.86,17733.84,30.2583,-23.9998
50173,0,0,8,15,1,2,0,7491,0,9023.616,-1917.99,18348.19,26.6926,-11.9998
50174,0,0,8,15,2,2,0,7491,2,10119.45,-2150.92,17733.84,30.2583,-11.9998
50175,0,0,8,16,1,2,0,7275,0,9225.201,0.0346,18348.19,26.6926,0.0002
50176,0,0,8,16,2,2,0,7275,2,10345.51,0.0386,17733.84,30.2583,0.0002
50177,0,0,8,17,1,2,0,1166,0,9023.601,1918.061,18348.19,26.6926,12.0002
50178,0,0,8,17,2,2,0,1166,2,10119.43,2150.991,17733.84,30.2583,12.0002
50179,0,0,8,18,1,2,0,4739,0,8427.627,3752.259,18348.19,26.6926,24.0002
50180,0,0,8,18,2,2,0,4739,2,9451.082,4207.935,17733.84,30.2583,24.0002
50181,0,0,8,19,1,2,0,3279,1,7391.896,5617.74,18316.94,26.8792,37.2343
50182,0,0,8,19,2,2,0,3936,0,8263.293,6003.634,17805.96,29.8398,36.0
