#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
9818,0,1,5,163,0,1,7189,1,1025.31,19299.21,-2041.92,96.0312,86.9589
9819,0,1,5,164,0,2,7189,0,471.263,19320.68,-2041.92,96.0312,88.6027
9820,0,1,5,165,0,2,7137,2,-83.1728,19326.25,-2041.92,96.0312,90.2466
9821,0,1,5,166,0,1,7137,1,-637.538,19315.91,-2041.92,96.0312,91.8904
9822,0,1,5,167,0,1,7137,0,-1191.38,19289.67,-2041.92,96.0312,93.5342
9823,0,1,5,168,0,1,5821,2,-1744.24,19247.56,-2041.92,96.0312,95.1781
9824,0,1,5,169,0,2,5821,1,-2295.67,19189.6,-2041.92,96.0312,96.8219
9825,0,1,5,170,0,1,5821,0,-2845.2,19115.85,-2041.92,96.0312,98.4657
9826,0,1,5,171,0,2,4806,2,-3392.4,19026.36,-2041.92,96.0312,100.1096
9827,0,1,5,172,0,2,4806,1,-3936.8,18921.22,-2041.92,96.0312,101.7534
9828,0,1,5,173,0,1,4806,0,-4477.96,18800.5,-2041.92,96.0312,103.3973
9829,0,1,5,174,0,1,5047,2,-5015.44,18664.31,-2041.92,96.0312,105.0411
9830,0,1,5,175,0,2,5047,1,-5548.79,18512.75,-2041.92,96.0312,106.6849
9831,0,1,5,176,0,1,5047,0,-6077.57,18345.96,-2041.92,96.0312,108.3288
9832,0,1,5,177,0,2,4973,2,-6601.35,18164.06,-2041.92,96.0312,109.9726
9833,0,1,5,178,0,1,4973,1,-7119.69,17967.22,-2041.92,96.0312,111.6164
9834,0,1,5,179,0,2,4973,0,-7632.17,17755.59,-2041.92,96.0312,113.2603
9835,0,1,5,180,0,2,4148,2,-8138.38,17529.34,-2041.92,96.0312,114.9041
9836,0,1,5,181,0,1,4148,1,-8637.88,17288.66,-2041.92,96.0312,116.5479
9837,0,1,5,182,0,1,4148,0,-9130.28,17033.76,-2041.92,96.0312,118.1918
9838,0,1,5,183,0,2,2863,2,-9615.16,16764.83,-2041.92,96.0312,119.8356
9839,0,1,5,184,0,1,2863,1,-10092.1,16482.11,-2041.92,96.0312,121.4794
9840,0,1,5,185,0,1,2863,0,-10560.8,16185.82,-2041.92,96.0312,123.1233
9841,0,1,5,186,0,2,3447,2,-11020.7,15876.21,-2041.92,96.0312,124.767
9842,0,1,5,187,0,2,3447,1,-11471.6,15553.53,-2041.92,96.0312,126.4109
9843,0,1,5,188,0,1,3447,0,-11913.1,15218.05,-2041.92,96.0312,128.0548
9844,0,1,5,189,0,1,3495,2,-12344.7,14870.04,-2041.92,96.0312,129.6985
9845,0,1,5,190,0,2,3495,1,-12766.2,14509.79,-2041.92,96.0312,131.3424
9846,0,1,5,191,0,1,3495,0,-13177.2,14137.6,-2041.92,96.0312,132.9863
9847,0,1,5,192,0,2,3778,0,-13577.4,13753.78,-2041.92,96.0312,134.6303
9848,0,1,5,193,0,1,3778,1,-13966.3,13358.63,-2041.92,96.0312,136.274
9849,0,1,5,194,0,2,3778,2,-14343.8,12952.49,-2041.92,96.0312,137.9179
9850,0,1,5,195,0,1,3926,2,-14709.4,12535.69,-2041.92,96.0312,139.5616
9851,0,1,5,196,0,2,3926,1,-15063.0,12108.57,-2041.92,96.0312,141.2055
9852,0,1,5,197,0,1,3926,0,-15404.1,11671.48,-2041.92,96.0312,142.8493
9853,0,1,5,198,0,2,4325,2,-15732.6,11224.79,-2041.92,96.0312,144.4932
9854,0,1,5,199,0,1,4325,1,-16048.1,10768.86,-2041.92,96.0312,146.1369
9855,0,1,5,200,0,1,4325,0,-16350.4,10304.07,-2041.92,96.0312,147.7807
9856,0,1,5,201,0,2,4740,2,-16639.3,9830.791,-2041.92,96.0312,149.4247
9857,0,1,5,202,0,2,4740,1,-16914.5,9349.423,-2041.92,96.0312,151.0686
9858,0,1,5,203,0,1,4740,0,-17175.7,8860.359,-2041.92,96.0312,152.7123
9859,0,1,5,204,0,1,7476,2,-17422.8,8364.005,-2041.92,96.0312,154.3562
9860,0,1,5,205,0,2,7476,1,-17655.6,7860.765,-2041.92,96.0312,156.0
9861,0,1,5,206,0,1,7476,0,-17873.8,7351.055,-2041.92,96.0312,157.6438
9862,0,1,5,207,0,1,7164,0,-18077.3,6835.294,-2041.92,96.0312,159.2877
9863,0,1,5,208,0,2,7164,1,-18266.0,6313.908,-2041.92,96.0312,160.9315
9864,0,1,5,209,0,2,7164,2,-18439.6,5787.324,-2041.92,96.0312,162.5754
9865,0,1,5,210,0,1,7124,2,-18598.0,5255.978,-2041.92,96.0312,164.2192
9866,0,1,5,211,0,2,7124,1,-18741.1,4720.305,-2041.92,96.0312,165.863
9867,0,1,5,212,0,1,7124,0,-18868.8,4180.747,-2041.92,96.0312,167.5068
9868,0,1,5,213,0,2,0742,2,-18981.0,3637.749,-2041.92,96.0312,169.1507
9869,0,1,5,214,0,1,0742,1,-19077.5,3091.756,-2041.92,96.0312,170.7945
9870,0,1,5,215,0,2,0742,0,-19158.4,2543.218,-2041.92,96.0312,172.4384
9871,0,1,5,216,0,2,1301,2,-19223.4,1992.587,-2041.92,96.0312,174.0822
9872,0,1,5,217,0,1,1301,1,-19272.7,1440.317,-2041.92,96.0312,175.726
9873,0,1,5,218,0,1,1301,0,-19306.1,886.8604,-2041.92,96.0312,177.3699
9874,0,1,5,219,0,1,2222,2,-19323.6,332.6742,-2041.92,96.0312,179.0137
9875,0,1,6,1,0,2,2700,1,-19266.8,-497.606,-2494.3,97.3741,-178.5205
9876,0,1,6,2,0,2,2700,0,-19244.6,-1050.1,-2494.3,97.3741,-176.8767
9877,0,1,6,3,0,2,2708,2,-19206.6,-1601.72,-2494.3,97.3741,-175.2329
9878,0,1,6,4,0,2,2708,1,-19152.7,-2152.03,-2494.3,97.3741,-173.589
9879,0,1,6,5,0,2,2708,0,-19083.1,-2700.57,-2494.3,97.3741,-171.9452
9880,0,1,6,6,0,2,2716,2,-18997.8,-3246.89,-2494.3,97.3741,-170.3014
9881,0,1,6,7,0,2,2716,1,-18896.8,-3790.53,-2494.3,97.3741,-168.6575
9882,0,1,6,8,0,2,2716,0,-18780.3,-4331.05,-2494.3,97.3741,-167.0137
9883,0,1,6,9,0,2,6853,0,-18648.4,-4868.01,-2494.3,97.3741,-165.3699
9884,0,1,6,10,0,2,6853,1,-18501.0,-5400.96,-2494.3,97.3741,-163.726
9885,0,1,6,11,0,2,6853,2,-18338.5,-5929.47,-2494.3,97.3741,-162.0822
9886,0,1,6,12,0,2,6287,2,-18160.8,-6453.09,-2494.3,97.3741,-160.4383
9887,0,1,6,13,0,2,6287,1,-17968.3,-6971.41,-2494.3,97.3741,-158.7946
9888,0,1,6,14,0,2,6287,0,-17760.9,-7483.98,-2494.3,97.3741,-157.1507
9889,0,1,6,15,0,2,4655,2,-17538.9,-7990.4,-2494.3,97.3741,-155.5069
9890,0,1,6,16,0,2,4655,1,-17302.4,-8490.24,-2494.3,97.3741,-153.8629
9891,0,1,6,17,0,2,4655,0,-17051.8,-8983.09,-2494.3,97.3741,-152.2192
9892,0,1,6,18,0,2,4314,2,-16787.1,-9468.54,-2494.3,97.3741,-150.5754
9893,0,1,6,19,0,2,4314,1,-16508.5,-9946.21,-2494.3,97.3741,-148.9314
9894,0,1,6,20,0,2,4314,0,-16216.4,-10415.7,-2494.3,97.3741,-147.2876
9895,0,1,6,21,0,2,5378,2,-15911.0,-10876.6,-2494.3,97.3741,-145.6439
9896,0,1,6,22,0,2,5378,1,-15592.4,-11328.5,-2494.3,97.3741,-144.0001
9897,0,1,6,23,0,2,5378,0,-15261.0,-11771.2,-2494.3,97.3741,-142.3561
9898,0,1,6,24,0,2,4971,0,-14917.1,-12204.1,-2494.3,97.3741,-140.7124
9899,0,1,6,25,0,2,4971,1,-14560.8,-12627.0,-2494.3,97.3741,-139.0685
9900,0,1,6,26,0,2,4971,2,-14192.6,-13039.5,-2494.3,97.3741,-137.4247
9901,0,1,6,27,0,2,5488,2,-13812.7,-13441.3,-2494.3,97.3741,-135.7807
9902,0,1,6,28,0,2,5488,1,-13421.4,-13832.0,-2494.3,97.3741,-134.1368
9903,0,1,6,29,0,2,5488,0,-13019.1,-14211.3,-2494.3,97.3741,-132.4931
9904,0,1,6,30,0,2,4687,2,-12606.1,-14578.9,-2494.3,97.3741,-130.8494
9905,0,1,6,31,0,2,4687,1,-12182.7,-14934.5,-2494.3,97.3741,-129.2056
9906,0,1,6,32,0,2,4687,0,-11749.3,-15277.9,-2494.3,97.3741,-127.5617
9907,0,1,6,33,0,2,3296,2,-11306.2,-15608.6,-2494.3,97.3741,-125.918
9908,0,1,6,34,0,2,3296,1,-10853.8,-15926.5,-2494.3,97.3741,-124.2742
9909,0,1,6,35,0,2,3296,0,-10392.4,-16231.3,-2494.3,97.3741,-122.6302
9910,0,1,6,36,0,2,3564,2,-9922.51,-16522.8,-2494.3,97.3741,-120.9863
9911,0,1,6,37,0,2,3564,1,-9444.45,-16800.6,-2494.3,97.3741,-119.3425
9912,0,1,6,38,0,2,3564,0,-8958.61,-17064.6,-2494.3,97.3741,-117.6987
9913,0,1,6,39,0,2,4131,2,-8465.4,-17314.6,-2494.3,97.3741,-116.0548
9914,0,1,6,40,0,2,4131,1,-7965.23,-17550.3,-2494.3,97.3741,-114.411
9915,0,1,6,41,0,2,4131,0,-7458.49,-17771.6,-2494.3,97.3741,-112.7671
9916,0,1,6,42,0,2,3547,2,-6945.62,-17978.2,-2494.3,97.3741,-111.1233
9917,0,1,6,43,0,2,3547,1,-6427.03,-18170.1,-2494.3,97.3741,-109.4794
9918,0,1,6,44,0,2,3547,0,-5903.15,-18347.0,-2494.3,97.3741,-107.8356
9919,0,1,6,45,0,2,5677,2,-5374.41,-18508.8,-2494.3,97.3741,-106.1917
9920,0,1,6,46,0,2,5677,1,-4841.25,-18655.3,-2494.3,97.3741,-104.548
9921,0,1,6,47,0,2,5677,0,-4304.11,-18786.5,-2494.3,97.3741,-102.9041
9922,0,1,6,48,0,2,5332,2,-3763.42,-18902.3,-2494.3,97.3741,-101.2603
9923,0,1,6,49,0,2,5332,1,-3219.63,-19002.4,-2494.3,97.3741,-99.6165
9924,0,1,6,50,0,2,5332,0,-2673.19,-19087.0,-2494.3,97.3741,-97.9726
9925,0,1,6,51,0,2,1904,2,-2124.55,-19155.8,-2494.3,97.3741,-96.3288
9926,0,1,6,52,0,2,1904,1,-1574.17,-19208.9,-2494.3,97.3741,-94.6849
9927,0,1,6,53,0,2,1904,0,-1022.49,-19246.1,-2494.3,97.3741,-93.0411
9928,0,1,6,54,0,2,7414,2,-469.966,-19267.5,-2494.3,97.3741,-91.3973
9929,0,1,6,55,0,2,7414,1,82.9445,-19273.1,-2494.3,97.3741,-89.7534
9930,0,1,6,56,0,2,7414,0,635.7849,-19262.8,-2494.3,97.3741,-88.1096
9931,0,1,6,57,0,2,5162,2,1188.103,-19236.6,-2494.3,97.3741,-86.4658
9932,0,1,6,58,0,2,5162,1,1739.443,-19194.6,-2494.3,97.3741,-84.8219
9933,0,1,6,59,0,2,5162,0,2289.351,-19136.8,-2494.3,97.3741,-83.1781
9934,0,1,6,60,0,2,6245,0,2837.378,-19063.3,-2494.3,97.3741,-81.5343
9935,0,1,6,61,0,2,6245,1,3383.066,-18974.0,-2494.3,97.3741,-79.8904
9936,0,1,6,62,0,2,3521,2,3925.97,-18869.2,-2494.3,97.3741,-78.2466
9937,0,1,6,63,0,2,6520,2,4465.643,-18748.8,-2494.3,97.3741,-76.6028
9938,0,1,6,64,0,2,6520,1,5001.64,-18613.0,-2494.3,97.3741,-74.9589
9939,0,1,6,65,0,2,6520,0,5533.523,-18461.8,-2494.3,97.3741,-73.315
9940,0,1,6,66,0,2,3773,2,6060.849,-18295.5,-2494.3,97.3741,-71.6712
9941,0,1,6,67,0,2,3773,1,6583.186,-18114.1,-2494.3,97.3741,-70.0274
9942,0,1,6,68,0,2,3773,0,7100.105,-17917.8,-2494.3,97.3741,-68.3836
9943,0,1,6,69,0,2,6245,2,7611.18,-17706.7,-2494.3,97.3741,-66.7397
9944,0,1,6,70,0,2,3521,1,8115.99,-17481.1,-2494.3,97.3741,-65.0959
9945,0,1,6,71,0,2,3521,0,8614.121,-17241.1,-2494.3,97.3741,-63.452
9946,0,1,6,72,0,2,3174,2,9105.161,-16986.9,-2494.3,97.3741,-61.8082
9947,0,1,6,73,0,2,3174,1,9588.707,-16718.7,-2494.3,97.3741,-60.1644
9948,0,1,6,74,0,2,3174,0,10064.36,-16436.8,-2494.3,97.3741,-58.5206
9949,0,1,6,75,0,2,5226,0,10531.73,-16141.3,-2494.3,97.3741,-56.8767
9950,0,1,6,76,0,2,5226,1,10990.43,-15832.5,-2494.3,97.3741,-55.2328
9951,0,1,6,77,0,2,5226,2,11440.09,-15510.7,-2494.3,97.3741,-53.589
9952,0,1,6,78,0,2,5009,2,11880.33,-15176.2,-2494.3,97.3741,-51.9452
9953,0,1,6,79,0,2,5009,1,12310.79,-14829.1,-2494.3,97.3741,-50.3013
9954,0,1,6,80,0,2,5009,0,12731.12,-14469.9,-2494.3,97.3741,-48.6576
9955,0,1,6,81,0,2,6401,2,13140.97,-14098.7,-2494.3,97.3741,-47.0137
9956,0,1,6,82,0,2,6401,1,13540.0,-13715.9,-2494.3,97.3741,-45.3698
9957,0,1,6,83,0,2,6401,0,13927.89,-13321.9,-2494.3,97.3741,-43.726
9958,0,1,6,84,0,1,-1,-1,14304.32,-12916.9,-2494.3,97.3741,-42.0823
9959,0,1,6,85,0,2,5167,1,14668.97,-12501.2,-2494.3,97.3741,-40.4383
9960,0,1,6,86,0,2,5167,0,15021.55,-12075.3,-2494.3,97.3741,-38.7946
9961,0,1,6,87,0,2,4922,2,15361.76,-11639.4,-2494.3,97.3741,-37.1507
9962,0,1,6,88,0,2,4922,1,15689.33,-11193.9,-2494.3,97.3741,-35.5068
9963,0,1,6,89,0,2,4922,0,16003.99,-10739.2,-2494.3,97.3741,-33.8629
9964,0,1,6,90,0,2,4310,2,16305.47,-10275.7,-2494.3,97.3741,-32.2191
9965,0,1,6,91,0,2,4310,1,16593.53,-9803.75,-2494.3,97.3741,-30.5753
9966,0,1,6,92,0,2,4310,0,16867.94,-9323.71,-2494.3,97.3741,-28.9315
9967,0,1,6,93,0,2,5832,2,17128.46,-8835.99,-2494.3,97.3741,-27.2877
9968,0,1,6,94,0,2,5832,1,17374.88,-8341.0,-2494.3,97.3741,-25.6438
9969,0,1,6,95,0,2,5832,0,17607.01,-7839.14,-2494.3,97.3741,-24.0
9970,0,1,6,96,0,2,6800,2,17824.64,-7330.83,-2494.3,97.3741,-22.3561
9971,0,1,6,97,0,2,6800,1,18027.6,-6816.49,-2494.3,97.3741,-20.7123
9972,0,1,6,98,0,2,6800,0,18215.72,-6296.54,-2494.3,97.3741,-19.0685
9973,0,1,6,99,0,2,6796,2,18388.85,-5771.41,-2494.3,97.3741,-17.4247
9974,0,1,6,100,0,2,6796,1,18546.84,-5241.52,-2494.3,97.3741,-15.7808
9975,0,1,6,101,0,2,6796,0,18689.57,-4707.32,-2494.3,97.3741,-14.137
9976,0,1,6,102,0,2,1281,2,18816.91,-4169.25,-2494.3,97.3741,-12.4932
9977,0,1,6,103,0,2,1281,1,18928.77,-3627.74,-2494.3,97.3741,-10.8493
9978,0,1,6,104,0,2,1281,0,19025.05,-3083.25,-2494.3,97.3741,-9.2055
9979,0,1,6,105,0,2,2202,2,19105.66,-2536.22,-2494.3,97.3741,-7.5616
9980,0,1,6,106,0,2,2202,1,19170.56,-1987.11,-2494.3,97.3741,-5.9178
9981,0,1,6,107,0,2,2202,0,19219.67,-1436.36,-2494.3,97.3741,-4.274
9982,0,1,6,108,0,2,1605,2,19252.96,-884.422,-2494.3,97.3741,-2.6301
9983,0,1,6,109,0,2,1605,1,19270.41,-331.76,-2494.3,97.3741,-0.9863
9984,0,1,6,110,0,2,1605,0,19272.0,221.1783,-2494.3,97.3741,0.6575
9985,0,1,6,111,0,2,6395,2,19257.72,773.9307,-2494.3,97.3741,2.3014
9986,0,1,6,112,0,2,6395,1,19227.6,1326.047,-2494.3,97.3741,3.9452
9987,0,1,6,113,0,2,6395,0,19181.64,1877.072,-2494.3,97.3741,5.589
9988,0,1,6,114,0,2,0880,2,19119.9,2426.551,-2494.3,97.3741,7.2329
9989,0,1,6,115,0,2,0880,1,19042.42,2974.036,-2494.3,97.3741,8.8767
9990,0,1,6,116,0,2,0880,0,18949.27,3519.07,-2494.3,97.3741,10.5206
9991,0,1,6,117,0,2,7157,2,18840.53,4061.208,-2494.3,97.3741,12.1644
9992,0,1,6,118,0,2,7157,1,18716.27,4600.004,-2494.3,97.3741,13.8082
9993,0,1,6,119,0,2,7157,0,18576.61,5135.012,-2494.3,97.3741,15.4521
9994,0,1,6,120,0,2,7505,2,18421.66,5665.798,-2494.3,97.3741,17.0959
9995,0,1,6,121,0,2,7505,1,18251.55,6191.917,-2494.3,97.3741,18.7397
9996,0,1,6,122,0,2,7505,0,18066.41,6712.94,-2494.3,97.3741,20.3836
9997,0,1,6,123,0,2,0902,2,17866.41,7228.438,-2494.3,97.3741,22.0274
9998,0,1,6,124,0,2,0902,1,17651.7,7737.985,-2494.3,97.3741,23.6712
9999,0,1,6,125,0,2,0902,0,17422.46,8241.165,-2494.3,97.3741,25.3151
10000,0,1,6,126,0,2,5428,0,17178.88,8737.561,-2494.3,97.3741,26.9589
10001,0,1,6,127,0,2,5428,1,16921.16,9226.765,-2494.3,97.3741,28.6027
10002,0,1,6,128,0,2,5428,2,16649.51,9708.375,-2494.3,97.3741,30.2466
10003,0,1,6,129,0,2,6400,2,16364.16,10181.99,-2494.3,97.3741,31.8904
10004,0,1,6,130,0,2,6400,1,16065.34,10647.23,-2494.3,97.3741,33.5342
10005,0,1,6,131,0,2,6400,0,15753.3,11103.71,-2494.3,97.3741,35.1781
10006,0,1,6,132,0,2,5612,2,15428.29,11551.05,-2494.3,97.3741,36.8219
10007,0,1,6,133,0,2,5612,1,15090.58,11988.88,-2494.3,97.3741,38.4658
10008,0,1,6,134,0,2,5612,0,14740.45,12416.84,-2494.3,97.3741,40.1096
10009,0,1,6,135,0,2,3809,2,14378.19,12834.58,-2494.3,97.3741,41.7534
10010,0,1,6,136,0,2,3809,1,14004.1,13241.75,-2494.3,97.3741,43.3973
10011,0,1,6,137,0,2,3809,0,13618.48,13638.03,-2494.3,97.3741,45.0411
10012,0,1,6,138,0,2,3306,2,13221.65,14023.08,-2494.3,97.3741,46.6849
10013,0,1,6,139,0,2,3306,1,12813.93,14396.59,-2494.3,97.3741,48.3288
10014,0,1,6,140,0,2,3306,0,12395.67,14758.26,-2494.3,97.3741,49.9726
10015,0,1,6,141,0,2,2740,0,11967.21,15107.77,-2494.3,97.3741,51.6165
10016,0,1,6,142,0,2,2740,1,11528.9,15444.85,-2494.3,97.3741,53.2603
10017,0,1,6,143,0,2,2740,2,11081.1,15769.21,-2494.3,97.3741,54.9041
10018,0,1,6,144,0,2,3059,2,10624.17,16080.6,-2494.3,97.3741,56.548
10019,0,1,6,145,0,2,3059,1,10158.51,16378.75,-2494.3,97.3741,58.1918
10020,0,1,6,146,0,2,3059,0,9684.479,16663.42,-2494.3,97.3741,59.8356
10021,0,1,6,147,0,2,4500,2,9202.48,16934.38,-2494.3,97.3741,61.4795
10022,0,1,6,148,0,2,4500,1,8712.905,17191.4,-2494.3,97.3741,63.1233
10023,0,1,6,149,0,2,4500,0,8216.162,17434.26,-2494.3,97.3741,64.7671
10024,0,1,6,150,0,2,3484,2,7712.654,17662.78,-2494.3,97.3741,66.411
10025,0,1,6,151,0,2,3484,1,7202.798,17876.76,-2494.3,97.3741,68.0548
10026,0,1,6,152,0,2,3484,0,6687.014,18076.02,-2494.3,97.3741,69.6986
10027,0,1,6,153,0,2,6218,2,6165.726,18260.41,-2494.3,97.3741,71.3425
10028,0,1,6,154,0,2,6218,1,5639.363,18429.77,-2494.3,97.3741,72.9863
10029,0,1,6,155,0,2,6218,0,5108.358,18583.96,-2494.3,97.3741,74.6301
10030,0,1,6,156,0,2,5380,2,4573.148,18722.85,-2494.3,97.3741,76.274
10031,0,1,6,157,0,2,5380,1,4034.176,18846.33,-2494.3,97.3741,77.9178
10032,0,1,6,158,0,2,5380,0,3491.883,18954.3,-2494.3,97.3741,79.5616
10033,0,1,6,159,0,2,2523,2,2946.715,19046.67,-2494.3,97.3741,81.2055
10034,0,1,6,160,0,2,2523,1,2399.121,19123.36,-2494.3,97.3741,82.8493
10035,0,1,6,161,0,2,2523,0,1849.553,19184.32,-2494.3,97.3741,84.4932
10036,0,1,6,162,0,2,2299,0,1298.464,19229.48,-2494.3,97.3741,86.137
10037,0,1,6,163,0,2,2299,1,746.3049,19258.81,-2494.3,97.3741,87.7808
10038,0,1,6,164,0,2,2299,2,193.5317,19272.3,-2494.3,97.3741,89.4247
10039,0,1,6,165,0,2,5420,0,-359.401,19269.92,-2494.3,97.3741,91.0685
10040,0,1,6,166,0,2,5420,1,-912.037,19251.68,-2494.3,97.3741,92.7123
10041,0,1,6,167,0,2,5420,2,-1463.92,19217.59,-2494.3,97.3741,94.3562
10042,0,1,6,168,0,2,5431,2,-2014.6,19167.69,-2494.3,97.3741,96.0
10043,0,1,6,169,0,2,5431,1,-2563.63,19102.01,-2494.3,97.3741,97.6438
10044,0,1,6,170,0,2,5431,0,-3110.54,19020.6,-2494.3,97.3741,99.2877
10045,0,1,6,171,0,2,6226,2,-3654.89,18923.55,-2494.3,97.3741,100.9315
10046,0,1,6,172,0,2,6226,1,-4196.24,18810.91,-2494.3,97.3741,102.5753
10047,0,1,6,173,0,2,6226,0,-4734.13,18682.8,-2494.3,97.3741,104.2192
10048,0,1,6,174,0,2,6659,2,-5268.12,18539.3,-2494.3,97.3741,105.863
10049,0,1,6,175,0,2,6659,1,-5797.78,18380.55,-2494.3,97.3741,107.5068
10050,0,1,6,176,0,2,6659,0,-6322.67,18206.67,-2494.3,97.3741,109.1507
10051,0,1,6,177,0,2,3536,0,-6842.35,18017.8,-2494.3,97.3741,110.7945
10052,0,1,6,178,0,2,3536,1,-7356.4,17814.1,-2494.3,97.3741,112.4384
10053,0,1,6,179,0,2,3536,2,-7864.39,17595.74,-2494.3,97.3741,114.0822
10054,0,1,6,180,0,2,3487,2,-8365.92,17362.9,-2494.3,97.3741,115.726
10055,0,1,6,181,0,2,3487,1,-8860.55,17115.77,-2494.3,97.3741,117.3699
10056,0,1,6,182,0,2,3487,0,-9347.9,16854.54,-2494.3,97.3741,119.0137
10057,0,1,6,183,0,2,3243,2,-9827.54,16579.45,-2494.3,97.3741,120.6575
10058,0,1,6,184,0,2,3243,1,-10299.1,16290.71,-2494.3,97.3741,122.3014
10059,0,1,6,185,0,2,3243,0,-10762.2,15988.56,-2494.3,97.3741,123.9452
10060,0,1,6,186,0,2,3082,2,-11216.4,15673.25,-2494.3,97.3741,125.589
10061,0,1,6,187,0,2,3082,1,-11661.4,15345.04,-2494.3,97.3741,127.2329
10062,0,1,6,188,0,2,3082,0,-12096.8,15004.2,-2494.3,97.3741,128.8767
10063,0,1,6,189,0,2,3916,2,-12522.2,14651.01,-2494.3,97.3741,130.5205
10064,0,1,6,190,0,2,3916,1,-12937.4,14285.77,-2494.3,97.3741,132.1644
10065,0,1,6,191,0,2,3916,0,-13341.9,13908.76,-2494.3,97.3741,133.8083
10066,0,1,6,192,0,2,3892,0,-13735.4,13520.31,-2494.3,97.3741,135.4521
10067,0,1,6,193,0,2,3892,1,-14117.6,13120.73,-2494.3,97.3741,137.096
10068,0,1,6,194,0,2,3892,2,-14488.1,12710.34,-2494.3,97.3741,138.7397
10069,0,1,6,195,0,2,1181,2,-14846.8,12289.5,-2494.3,97.3741,140.3836
10070,0,1,6,196,0,2,1181,1,-15193.2,11858.54,-2494.3,97.3741,142.0274
10071,0,1,6,197,0,2,1181,0,-15527.1,11417.82,-2494.3,97.3741,143.6712
10072,0,1,6,198,0,2,4482,2,-15848.3,10967.71,-2494.3,97.3741,145.3151
10073,0,1,6,199,0,2,4482,1,-16156.4,10508.56,-2494.3,97.3741,146.9589
10074,0,1,6,200,0,2,4482,0,-16451.2,10040.77,-2494.3,97.3741,148.6028
10075,0,1,6,201,0,2,4564,2,-16732.5,9564.711,-2494.3,97.3741,150.2466
10076,0,1,6,202,0,2,4564,1,-16999.9,9080.781,-2494.3,97.3741,151.8904
10077,0,1,6,203,0,2,4564,0,-17253.4,8589.375,-2494.3,97.3741,153.5342
10078,0,1,6,204,0,2,7211,2,-17492.7,8090.902,-2494.3,97.3741,155.178
10079,0,1,6,205,0,2,7211,1,-17717.6,7585.768,-2494.3,97.3741,156.8219
10080,0,1,6,206,0,2,7211,0,-17928.0,7074.391,-2494.3,97.3741,158.4658
10081,0,1,6,207,0,2,7503,2,-18123.5,6557.19,-2494.3,97.3741,160.1096
10082,0,1,6,208,0,2,7503,1,-18304.2,6034.593,-2494.3,97.3741,161.7535
10083,0,1,6,209,0,2,7503,0,-18469.7,5507.029,-2494.3,97.3741,163.3972
10084,0,1,6,210,0,2,7518,2,-18620.1,4974.931,-2494.3,97.3741,165.0411
10085,0,1,6,211,0,2,7518,1,-18755.2,4438.739,-2494.3,97.3741,166.685
10086,0,1,6,212,0,2,7518,0,-18874.8,3898.896,-2494.3,97.3741,168.3288
10087,0,1,6,213,0,2,2272,2,-18978.9,3355.842,-2494.3,97.3741,169.9726
10088,0,1,6,214,0,2,2272,1,-19067.3,2810.026,-2494.3,97.3741,171.6164
10089,0,1,6,215,0,2,2272,0,-19140.1,2261.896,-2494.3,97.3741,173.2603
10090,0,1,6,216,0,2,1378,2,-19197.1,1711.907,-2494.3,97.3741,174.9041
10091,0,1,6,217,0,2,1378,1,-19238.3,1160.507,-2494.3,97.3741,176.5479
10092,0,1,6,218,0,2,1378,0,-19263.7,608.1522,-2494.3,97.3741,178.1918
10093,0,1,6,219,0,2,2700,2,-19273.2,55.2934,-2494.3,97.3741,179.8356
10094,0,1,7,1,0,2,2253,2,-19208.2,-220.447,-2945.8,98.7185,-179.3425
10095,0,1,7,2,0,1,2678,0,-19193.9,-771.368,-2945.8,98.7185,-177.6986
10096,0,1,7,3,0,2,2678,1,-19163.9,-1321.66,-2945.8,98.7185,-176.0548
10097,0,1,7,4,0,1,2678,2,-19056.6,-2418.52,-2945.8,98.7185,-172.7671
10098,0,1,7,5,0,2,2590,0,-18979.4,-2964.19,-2945.8,98.7185,-171.1233
10099,0,1,7,6,0,1,2590,1,-18886.5,-3507.42,-2945.8,98.7185,-169.4794
10100,0,1,7,7,0,2,2590,2,-18778.1,-4047.76,-2945.8,98.7185,-167.8356
10101,0,1,7,8,0,1,6885,2,-18654.3,-4584.77,-2945.8,98.7185,-166.1918
10102,0,1,7,9,0,2,6885,1,-18515.1,-5118.01,-2945.8,98.7185,-164.5479
10103,0,1,7,10,0,2,6885,0,-18360.7,-5647.04,-2945.8,98.7185,-162.9041
10104,0,1,7,11,0,1,6903,0,-18006.6,-6690.71,-2945.8,98.7185,-159.6165
10105,0,1,7,12,0,1,6903,1,-17807.2,-7204.5,-2945.8,98.7185,-157.9726
10106,0,1,7,13,0,1,6903,2,-17593.2,-7712.36,-2945.8,98.7185,-156.3287
10107,0,1,7,14,0,2,4664,2,-17364.8,-8213.87,-2945.8,98.7185,-154.685
