#Mapping file for Large PMT in CD
#Updated by Yuning Su (suyn26 AT mail2.sysu.edu.cn) in 20250123.
#Have installed 17596 CD-LPMT, more detail in https://docs.ihep.ac.cn/link/AR573CA85D4A004CE8B5AC50662739AB3F
#CopyNo, LargeOrSmall(0=Large 1=Small), NorthOrSouth(0=North 1=South), CircleNo, PositionNo, UpOrDown(0=Up 1=Down), PMTType(1=H 2=NVVT_1 3=NVVT_2 4=S), GCU, Channel(0-2), X, Y, Z, Theta, Phi
156,0,0,56,12,0,2,4109,2,0.0,-4033.33,19010.86,11.9782,-90.0
157,0,0,56,13,0,2,3270,1,537.5898,-3997.34,19010.86,11.9782,-82.3404
158,0,0,56,14,0,2,3270,2,1134.751,-3870.41,19010.86,11.9782,-73.6596
159,0,0,56,15,0,2,3270,0,1640.501,-3684.63,19010.86,11.9782,-66.0
160,0,0,56,16,0,2,5671,1,2116.977,-3433.09,19010.86,11.9782,-58.3404
161,0,0,56,17,0,2,5671,2,2610.883,-3074.25,19010.86,11.9782,-49.6596
162,0,0,56,18,0,2,5671,0,2997.345,-2698.82,19010.86,11.9782,-42.0
163,0,0,56,19,0,2,6267,0,3330.319,-2275.23,19010.86,11.9782,-34.3404
164,0,0,56,20,0,2,6267,1,3635.57,-1746.52,19010.86,11.9782,-25.6595
165,0,0,56,21,0,2,6267,2,3835.92,-1246.37,19010.86,11.9782,-18.0001
166,0,0,56,22,0,2,5875,1,3967.819,-723.967,19010.86,11.9782,-10.3404
167,0,0,56,23,0,2,5875,2,4031.634,-116.809,19010.86,11.9782,-1.6596
168,0,0,56,24,0,2,5875,0,4011.23,421.5973,19010.86,11.9782,6.0
169,0,0,56,25,0,2,5794,1,3919.247,952.4804,19010.86,11.9782,13.6596
170,0,0,56,26,0,2,5794,2,3730.591,1533.103,19010.86,11.9782,22.3404
171,0,0,56,27,0,2,5794,0,3492.962,2016.663,19010.86,11.9782,30.0
172,0,0,56,28,0,2,6411,0,3193.001,2464.235,19010.86,11.9782,37.6596
173,0,0,56,29,0,2,6411,1,2784.496,2917.927,19010.86,11.9782,46.3404
174,0,0,56,30,0,2,6411,2,2370.729,3263.029,19010.86,11.9782,54.0
175,0,0,56,31,0,2,4694,0,1914.657,3549.902,19010.86,11.9782,61.6596
176,0,0,56,32,0,2,4694,1,1356.935,3798.215,19010.86,11.9782,70.3404
177,0,0,56,33,0,2,4694,2,838.5755,3945.188,19010.86,11.9782,78.0
178,0,0,56,34,0,2,3944,1,305.2511,4021.758,19010.86,11.9782,85.6596
179,0,0,56,35,0,2,3944,2,-305.251,4021.758,19010.86,11.9782,94.3404
180,0,0,56,36,0,2,3944,0,-838.576,3945.188,19010.86,11.9782,102.0
181,0,0,56,37,0,2,4718,0,-1356.94,3798.215,19010.86,11.9782,109.6596
182,0,0,56,38,0,2,4718,1,-1914.66,3549.902,19010.86,11.9782,118.3405
183,0,0,56,39,0,2,4718,2,-2370.73,3263.029,19010.86,11.9782,126.0
184,0,0,56,40,0,2,5171,1,-2784.5,2917.927,19010.86,11.9782,133.6596
